Fecha,X1,X2,X3,X4,X5,X6,X7,X8,X9,X10,X11,y
8/6/2024,-0.116129032,10165.2472,41.67174298,184.7191688,2.07285842,8.8311768,2121,225.9077952,4184.3,17646.25144,10.40707594,490.560117
8/7/2024,-0.119354839,10165.4426,32.47250543,174.6208004,2.24920805,9.52991209,2239,208.5571769,4160.285,16015.70806,9.447682,457.166464
8/8/2024,-0.122580645,10102.1705,36.31879976,192.0932896,2.18912065,10.25239047,2270,228.9865785,4136.27,17092.88343,10.87640278,553.438052
8/9/2024,-0.125806452,10083.815,38.21099788,190.4547141,2.15199379,9.89914502,2292,230.3150541,4100.79,17482.8052,9.50275284,562.745485
8/10/2024,-0.129032258,10080.7154,37.54197986,177.2691555,2.22270255,9.19478431,2308.666667,217.8420472,4088.696667,16896.60681,7.47931619,549.267671
8/11/2024,-0.132258065,10105.9572,33.04806732,159.3841434,2.26054863,11.80130864,2325.333333,197.8261076,4076.603333,15220.40352,7.90991996,408.942396
8/12/2024,-0.135483871,10098.5389,38.22409597,185.681458,2.36833464,11.14549527,2342,227.8090253,4064.51,17636.00168,10.64598909,607.493896
8/13/2024,-0.138709677,10120.3867,41.93251368,182.1656669,2.39781782,8.80035462,2280,226.4708927,4063.26,17547.22097,7.94909234,621.694402
8/14/2024,-0.141935484,10085.6357,48.28925974,182.1093772,2.43132291,9.01794887,2343,231.1494807,4038.87,17956.01237,9.51728435,676.254782
8/15/2024,-0.14516129,10018.7267,51.87032236,180.9136909,2.50776688,11.9694199,2332,235.1804166,4021.1,18234.02716,10.88728906,646.566845
8/16/2024,-0.148387097,9995.637,50.94914087,180.904837,2.53278001,12.0812776,2247,235.8840547,4014.18,18233.30553,9.65454966,612.610523
8/17/2024,-0.151612903,9970.0899,41.13098606,174.9102768,2.63955425,10.38667624,2283.666667,220.0081211,4016.0425,17136.79355,8.2903907,572.619755
8/18/2024,-0.15483871,9943.3579,51.32480205,139.2330505,2.62409126,11.91769184,2320.333333,199.9051643,4017.905,15274.96058,4.20854023,611.461955
8/19/2024,-0.158064516,9915.9847,64.07517943,139.77106,2.68037968,11.68301352,2357,209.0521093,4019.7675,15831.38024,8.61729351,652.616419
8/20/2024,-0.161290323,9859.5987,72.1796531,155.8694393,2.67018392,11.70184501,2330,234.4694721,4021.63,17842.5671,7.43442059,769.673914
8/21/2024,-0.164516129,9805.1776,73.10899372,156.7323034,2.68434546,10.58567944,2314,234.8954152,4011.37,17901.20561,7.3981407,760.354065
8/22/2024,-0.167741935,9776.5738,79.23995101,148.1160537,2.67841715,9.54370388,2194,233.6250627,4013.98,17736.43863,5.06667422,788.305798
8/23/2024,-0.170967742,9794.2425,82.84995277,145.7430751,2.51497181,9.12327335,2180,233.2623484,4064.03,18123.80183,5.93059986,703.601998
8/24/2024,-0.174193548,9806.1512,80.38975418,133.9981367,2.64358331,9.55717266,2163.333333,220.0368746,4052.86,17168.4578,5.86748165,647.565885
8/25/2024,-0.177419355,9840.0365,70.92667355,129.0273932,2.7295139,8.25905996,2146.666667,199.4856969,4041.69,15613.48656,10.64061552,595.3046
8/26/2024,-0.180645161,9801.7078,57.18758027,162.652317,2.49876202,6.50553378,2130,218.2322022,4030.52,17085.3313,9.69868538,472.687012
8/27/2024,-0.183870968,9737.5107,52.75774736,170.9406414,2.65488018,11.69393617,2085,226.8459561,4023.92,17690.68334,10.03307989,542.634141
8/28/2024,-0.187096774,9672.7754,57.99070187,175.0206108,2.66803409,11.57171997,2097,235.245152,4045.64,18186.06395,10.78835788,548.338934
8/29/2024,-0.190322581,9614.0106,53.57769082,180.8194459,2.6474665,12.61382793,2529,238.0306155,4065.34,17981.28231,10.6790006,512.519729
8/30/2024,-0.193548387,9537.9661,58.37701932,174.2787625,2.75770063,11.70340684,2498,235.7095081,4132.11,18126.89918,10.63182474,497.279917
8/31/2024,-0.196774194,9463.1214,53.8006299,166.7537424,2.69343179,10.89899811,2511,223.4751139,4139.16,16892.03253,9.95721804,543.536507
9/1/2024,-0.2,9465.8029,54.85319121,142.4194279,2.8087667,10.47653202,2524,197.5714165,4146.21,15320.45468,10.63750544,578.680514
9/2/2024,-0.2,9445.2425,57.31656362,166.7927972,2.62169904,11.67165835,2537,225.8464886,4153.26,17419.58572,10.18252512,648.57092
9/3/2024,-0.2,9410.8543,56.35894255,173.3557726,2.34825679,10.96101315,2550,229.9865266,4160.31,17616.13198,10.32383274,636.727414
9/4/2024,-0.2,9376.6605,56.72481656,171.0855795,2.53453006,11.4671085,2506,228.8274064,4185.8,17832.17228,10.33071673,649.875712
9/5/2024,-0.2,9422.0126,57.48645003,170.6418121,2.64875152,10.69485763,2579,229.9713565,4185.82,17589.0541,9.12993624,673.64206
9/6/2024,-0.2,9359.3729,55.41877213,173.2744711,2.63252848,10.28762557,2597,230.6698456,4172.5,17677.68403,8.59883363,699.468006
9/7/2024,-0.2,9339.3429,57.80948064,158.6677512,2.70724789,10.0209142,2573.666667,218.9043708,4164.93,16932.36313,7.81331103,711.231617
9/8/2024,-0.2,9292.5886,53.03981932,148.5398124,2.78553557,10.65872901,2550.333333,203.8244331,4157.36,15663.18465,9.24688842,642.179315
9/9/2024,-0.2,9211.758,61.40186054,167.7874301,2.73873637,12.5144697,2527,231.7785561,4149.79,18087.96036,10.19352041,686.340328
9/10/2024,-0.2,9148.8939,59.56073309,174.916042,2.6069005,10.27922404,2545,238.0840666,4220.68,18065.00903,6.81595759,762.952035
9/11/2024,-0.2,9062.4259,65.8395726,170.0738558,2.59344622,11.3708526,2577,239.3944767,4285.61,18081.81051,7.96958553,788.233977
9/12/2024,-0.2,9000.9926,67.79471104,166.4544277,2.66863183,8.06684493,2633,236.244743,4278.28,17879.72012,6.34897746,819.970015
9/13/2024,-0.2,8973.1997,74.73046676,161.1876874,2.56334634,10.82429815,2589,236.5984523,4236.63,17904.07693,9.93078218,812.56346
9/14/2024,-0.2,8922.1182,82.79545499,144.7377557,2.52738911,12.63979588,2605.666667,230.19818,4215.13,17665.28325,9.9083257,863.174975
9/15/2024,-0.2,8888.815,79.01332205,128.5131691,2.7189077,13.24849304,2622.333333,213.4285238,4193.63,16503.7553,7.65032003,851.752593
9/16/2024,-0.2,8841.2626,86.94233578,146.3006186,2.55585721,11.65784256,2639,236.8062777,4172.13,18259.5347,8.46148405,912.208372
9/17/2024,-0.2,8845.2956,84.63981338,141.3632855,2.62084634,9.289068,2613,227.4004165,4220.58,17683.51023,8.24519463,921.471985
